date,num,samai,g_num,avg,series
2025-08-03,1088,-1256,7438,155,ghoul
2025-08-03,1089,-3907,6204,148,ghoul
2025-08-03,1090,3279,6738,123,ghoul
2025-08-03,1091,-2791,5872,133,ghoul
2025-08-03,1092,-419,6684,117,ghoul
2025-08-03,1093,1186,5385,128,ghoul
2025-08-03,1094,-140,6499,144,ghoul
2025-08-03,1095,2279,7274,110,ghoul
2025-08-03,1096,2558,6402,105,ghoul
2025-08-03,1097,697,7527,118,ghoul
2025-08-03,1098,6139,7614,88,ghoul
2025-08-03,1099,-1814,5652,182,ghoul
2025-08-03,1100,2372,7616,106,ghoul
2025-08-03,1101,883,7570,105,ghoul
2025-08-04,1088,-1582,5118,122,ghoul
2025-08-04,1089,3674,7673,97,ghoul
2025-08-04,1090,581,6144,123,ghoul
2025-08-04,1091,-2187,4432,170,ghoul
2025-08-04,1092,-1698,7858,131,ghoul
2025-08-04,1093,-977,6116,130,ghoul
2025-08-04,1094,-5582,6409,189,ghoul
2025-08-04,1095,-1861,4664,137,ghoul
2025-08-04,1096,-2791,7606,155,ghoul
2025-08-04,1097,-3210,5433,133,ghoul
2025-08-04,1098,186,4037,139,ghoul
2025-08-04,1099,-4117,6045,141,ghoul
2025-08-04,1100,-3070,5005,147,ghoul
2025-08-04,1101,-2884,6570,129,ghoul
2025-08-06,1088,3209,8479,123,ghoul
2025-08-06,1089,-4814,8605,154,ghoul
2025-08-06,1090,-5163,6476,162,ghoul
2025-08-06,1091,-2000,8095,128,ghoul
2025-08-06,1092,-559,7375,151,ghoul
2025-08-06,1093,-3977,5574,174,ghoul
2025-08-06,1094,11023,7822,85,ghoul
2025-08-06,1095,-3535,8064,149,ghoul
2025-08-06,1096,6232,6924,124,ghoul
2025-08-06,1097,-1954,7477,150,ghoul
2025-08-06,1098,6139,9063,87,ghoul
2025-08-06,1099,4674,8700,97,ghoul
2025-08-06,1100,-1535,7249,125,ghoul
2025-08-06,1101,-3559,7656,166,ghoul
2025-08-07,1088,906,6915,123,ghoul
2025-08-07,1089,1395,8302,104,ghoul
2025-08-07,1090,4604,6993,84,ghoul
2025-08-07,1091,-2442,8783,135,ghoul
2025-08-07,1092,1674,7995,114,ghoul
2025-08-07,1093,-1768,8714,119,ghoul
2025-08-07,1094,12697,8211,89,ghoul
2025-08-07,1095,-5791,8878,161,ghoul
