date,num,samai,g_num,avg,series
2025-01-01,800,-221,3803,95,hokuto
2025-01-01,801,4287,9312,68,hokuto
2025-01-01,802,810,1842,77,hokuto
2025-01-01,803,4737,7725,70,hokuto
2025-01-01,804,-1271,4318,120,hokuto
2025-01-01,805,137,2326,93,hokuto
2025-01-01,806,4062,7171,69,hokuto
2025-01-01,807,381,6731,92,hokuto
2025-01-01,808,-1375,3310,144,hokuto
2025-01-01,809,-2617,3871,184,hokuto
2025-01-01,810,616,8150,88,hokuto
2025-01-01,811,2475,8030,81,hokuto
2025-01-01,812,2075,8402,79,hokuto
2025-01-01,813,3350,5527,72,hokuto
2025-01-01,814,-2600,3698,148,hokuto
2025-01-01,815,887,7210,88,hokuto
2025-01-01,816,-2284,2796,186,hokuto
2025-01-01,817,354,7396,87,hokuto
2025-01-01,818,5837,8354,69,hokuto
2025-01-01,819,-640,7454,111,hokuto
2025-01-01,820,4012,8024,75,hokuto
2025-01-01,821,4350,9316,72,hokuto
2025-01-01,822,-132,5674,93,hokuto
2025-01-01,823,491,3174,84,hokuto
2025-01-01,824,6216,8299,69,hokuto
2025-01-01,825,-59,5161,96,hokuto
2025-01-01,826,833,4952,92,hokuto
2025-01-01,827,4387,8032,74,hokuto
2025-01-01,828,1229,7228,87,hokuto
2025-01-01,829,4050,8570,70,hokuto
2025-01-01,830,1675,8147,81,hokuto
2025-01-02,800,7283,6648,57,hokuto
2025-01-02,801,200,2231,89,hokuto
2025-01-02,802,462,5023,93,hokuto
2025-01-02,803,-1776,1744,249,hokuto
2025-01-02,804,1358,6289,84,hokuto
2025-01-02,805,643,2084,87,hokuto
2025-01-02,806,-3059,7641,123,hokuto
2025-01-02,807,-32,1690,99,hokuto
2025-01-02,808,2283,9488,83,hokuto
2025-01-02,809,-1459,2187,182,hokuto
2025-01-02,810,-1042,3781,122,hokuto
2025-01-02,811,2283,8646,89,hokuto
2025-01-02,812,-280,4511,90,hokuto
2025-01-02,813,-1938,4548,130,hokuto
2025-01-02,814,58,1326,88,hokuto
2025-01-02,815,-1542,5820,108,hokuto
2025-01-02,816,2275,8416,81,hokuto
2025-01-02,817,-246,2379,92,hokuto
2025-01-02,818,-730,5153,95,hokuto
2025-01-02,819,-1751,3822,119,hokuto
2025-01-02,820,-300,2501,100,hokuto
2025-01-02,821,-834,4491,110,hokuto
2025-01-02,822,837,3055,90,hokuto
2025-01-02,823,5725,6800,62,hokuto
2025-01-02,824,-1163,4461,114,hokuto
2025-01-02,825,1154,4430,79,hokuto
2025-01-02,826,-913,8036,91,hokuto
2025-01-02,827,-451,4313,108,hokuto
2025-01-02,828,-434,4075,107,hokuto
2025-01-02,829,-1459,3168,144,hokuto
2025-01-02,830,3616,7060,74,hokuto
2025-01-03,800,-4263,6490,155,hokuto
2025-01-03,801,-2250,4758,132,hokuto
2025-01-03,802,-271,7036,91,hokuto
2025-01-03,803,620,5118,88,hokuto
2025-01-03,804,-2609,4688,151,hokuto
2025-01-03,805,1616,5511,85,hokuto
2025-01-03,806,-3084,7515,121,hokuto
2025-01-03,807,-2367,7205,126,hokuto
2025-01-03,808,2983,7198,75,hokuto
2025-01-03,809,1883,7972,80,hokuto
2025-01-03,810,-1992,5589,114,hokuto
2025-01-03,811,5666,6284,63,hokuto
2025-01-03,812,-300,5653,96,hokuto
2025-01-03,813,-2400,5926,121,hokuto
2025-01-03,814,-976,4067,110,hokuto
2025-01-03,815,-2334,6469,116,hokuto
2025-01-03,816,-2034,6087,122,hokuto
2025-01-03,817,-2934,7036,128,hokuto
2025-01-03,818,1016,7848,88,hokuto
2025-01-03,819,4750,8072,77,hokuto
2025-01-03,820,3900,4687,68,hokuto
2025-01-03,821,583,5278,89,hokuto
2025-01-03,822,2400,4893,72,hokuto
2025-01-03,823,279,4297,86,hokuto
2025-01-03,824,-2809,5283,129,hokuto
2025-01-03,825,-605,5946,91,hokuto
2025-01-03,826,500,6713,88,hokuto
2025-01-03,827,-1430,5745,108,hokuto
2025-01-03,828,1841,8762,78,hokuto
2025-01-03,829,293,5852,94,hokuto
2025-01-03,830,-1017,6868,101,hokuto
2025-01-04,800,2833,8463,76,hokuto
2025-01-04,801,-238,7314,100,hokuto
2025-01-04,802,12454,8054,58,hokuto
2025-01-04,803,-742,7131,117,hokuto
2025-01-04,804,-459,6007,100,hokuto
2025-01-04,805,1320,7358,81,hokuto
2025-01-04,806,2600,8096,74,hokuto
2025-01-04,807,-4050,7927,134,hokuto
2025-01-04,808,-2400,8732,111,hokuto
2025-01-04,809,231,6832,89,hokuto
2025-01-04,810,1500,6348,87,hokuto
2025-01-04,811,-1180,7220,108,hokuto
2025-01-04,812,-1684,6939,116,hokuto
2025-01-04,813,612,8129,90,hokuto
2025-01-04,814,-1480,6168,116,hokuto
2025-01-04,815,825,6821,91,hokuto
2025-01-04,816,1150,7062,83,hokuto
2025-01-04,817,1779,8751,85,hokuto
2025-01-04,818,-1684,6258,114,hokuto
2025-01-04,819,1362,6402,82,hokuto
2025-01-04,820,-571,7026,96,hokuto
2025-01-04,821,-4125,7230,145,hokuto
2025-01-04,822,-1467,6423,109,hokuto
2025-01-04,823,-292,3654,94,hokuto
2025-01-04,824,2533,9296,78,hokuto
2025-01-04,825,-3938,5566,155,hokuto
2025-01-04,826,-2384,5076,130,hokuto
2025-01-04,827,100,5599,98,hokuto
2025-01-04,828,-1425,5508,110,hokuto
2025-01-04,829,-413,7074,96,hokuto
2025-01-04,830,3350,8726,74,hokuto
2025-01-05,800,908,6049,93,hokuto
2025-01-05,801,-1992,2373,198,hokuto
2025-01-05,802,-1034,4650,113,hokuto
2025-01-05,803,-1550,5262,120,hokuto
2025-01-05,804,612,6962,89,hokuto
2025-01-05,805,275,4125,90,hokuto
2025-01-05,806,-775,2269,133,hokuto
2025-01-05,807,-1105,3906,109,hokuto
2025-01-05,808,-63,6785,103,hokuto
2025-01-05,809,4225,5317,65,hokuto
2025-01-05,810,-684,3884,114,hokuto
2025-01-05,811,-426,5454,92,hokuto
2025-01-05,812,-338,6030,94,hokuto
2025-01-05,813,-1405,5068,108,hokuto
2025-01-05,814,1933,4176,84,hokuto
2025-01-05,815,1941,8069,78,hokuto
2025-01-05,816,-598,1996,111,hokuto
2025-01-05,817,-1250,5431,113,hokuto
2025-01-05,818,-34,5204,91,hokuto
2025-01-05,819,2125,2254,55,hokuto
2025-01-05,820,-59,4616,96,hokuto
