date,num,samai,g_num,avg,series
2025-08-03,800,-1303,4461,112,hokuto
2025-08-03,801,1627,4831,79,hokuto
2025-08-03,802,1651,8610,85,hokuto
2025-08-03,803,302,4672,82,hokuto
2025-08-03,804,-2140,5121,135,hokuto
2025-08-03,805,13674,4346,40,hokuto
2025-08-03,806,-1559,5981,115,hokuto
2025-08-03,807,-1489,4993,125,hokuto
2025-08-03,808,-745,7785,101,hokuto
2025-08-03,809,-3163,4034,202,hokuto
2025-08-03,810,-512,4400,107,hokuto
2025-08-03,811,-2000,6367,116,hokuto
2025-08-03,812,-919,5463,109,hokuto
2025-08-03,813,1720,5988,80,hokuto
2025-08-03,814,-1163,7906,95,hokuto
2025-08-03,815,0,3845,89,hokuto
2025-08-03,816,81,7526,95,hokuto
2025-08-03,817,-1303,3034,121,hokuto
2025-08-03,818,-1326,5402,106,hokuto
2025-08-03,819,-861,5012,107,hokuto
2025-08-03,820,-1349,7376,108,hokuto
2025-08-03,821,1720,8724,83,hokuto
2025-08-03,822,325,4024,89,hokuto
2025-08-03,823,1488,6404,84,hokuto
2025-08-03,824,-1582,7506,107,hokuto
2025-08-03,825,2232,7435,81,hokuto
2025-08-03,826,-1373,5044,105,hokuto
2025-08-03,827,4046,6522,74,hokuto
2025-08-03,828,-2931,5372,138,hokuto
2025-08-03,829,-838,7826,97,hokuto
2025-08-03,830,-1675,5377,117,hokuto
2025-08-04,800,255,4910,85,hokuto
2025-08-04,801,1069,3007,75,hokuto
2025-08-04,802,-1466,2589,152,hokuto
2025-08-04,803,-3024,4491,155,hokuto
2025-08-04,804,-1024,3961,124,hokuto
2025-08-04,805,-1047,2314,136,hokuto
2025-08-04,806,-1814,4272,126,hokuto
2025-08-04,807,-338,4322,105,hokuto
2025-08-04,808,-326,3359,105,hokuto
2025-08-04,809,-628,5773,101,hokuto
2025-08-04,810,6232,3208,47,hokuto
2025-08-04,811,-1954,6710,110,hokuto
2025-08-04,812,-140,4780,94,hokuto
2025-08-04,813,-791,4418,87,hokuto
2025-08-04,814,-1140,3281,117,hokuto
2025-08-04,815,-2466,4419,130,hokuto
2025-08-04,816,-1140,7239,98,hokuto
2025-08-04,817,-1094,6026,112,hokuto
2025-08-04,818,-791,2640,110,hokuto
2025-08-04,819,511,2219,85,hokuto
2025-08-04,820,-2838,5679,142,hokuto
2025-08-04,821,-1512,4787,114,hokuto
2025-08-04,822,-1000,3704,119,hokuto
2025-08-04,823,418,2260,90,hokuto
2025-08-04,824,279,3683,86,hokuto
2025-08-04,825,3255,3019,64,hokuto
2025-08-04,826,-373,3664,111,hokuto
2025-08-04,827,-1070,5893,116,hokuto
2025-08-04,828,-268,3463,99,hokuto
2025-08-04,829,-582,4333,103,hokuto
2025-08-04,830,-396,5635,96,hokuto
2025-08-06,800,-2791,7028,126,hokuto
2025-08-06,801,-2326,4766,140,hokuto
2025-08-06,802,1581,6967,84,hokuto
2025-08-06,803,6883,9087,66,hokuto
2025-08-06,804,-1466,4168,130,hokuto
2025-08-06,805,-233,2255,94,hokuto
2025-08-06,806,6046,9314,68,hokuto
2025-08-06,807,-2000,3906,140,hokuto
2025-08-06,808,-1163,7635,108,hokuto
2025-08-06,809,-2977,6247,133,hokuto
2025-08-06,810,-163,4824,93,hokuto
2025-08-06,811,813,8536,88,hokuto
2025-08-06,812,1348,5838,83,hokuto
2025-08-06,813,558,5566,94,hokuto
2025-08-06,814,-617,7136,110,hokuto
2025-08-06,815,767,8439,92,hokuto
2025-08-06,816,-1814,4621,118,hokuto
2025-08-06,817,-2698,5668,135,hokuto
2025-08-06,818,2465,3754,70,hokuto
2025-08-06,819,-884,3895,115,hokuto
2025-08-06,820,-605,9163,92,hokuto
2025-08-06,821,1813,4220,78,hokuto
2025-08-06,822,-2233,5848,124,hokuto
2025-08-06,823,976,3922,87,hokuto
2025-08-06,824,-1303,4015,115,hokuto
2025-08-06,825,-791,3054,113,hokuto
2025-08-06,826,-652,5006,104,hokuto
2025-08-06,827,4813,6237,62,hokuto
2025-08-06,828,-303,5226,95,hokuto
2025-08-06,829,-780,2632,120,hokuto
2025-08-06,830,2651,8685,76,hokuto
2025-08-07,800,4534,8547,73,hokuto
2025-08-07,801,1139,8894,84,hokuto
2025-08-07,802,0,9367,99,hokuto
2025-08-07,803,1395,5980,87,hokuto
2025-08-07,804,-4605,7331,167,hokuto
2025-08-07,805,-70,7043,105,hokuto
2025-08-07,806,1325,8242,88,hokuto
2025-08-07,807,139,7249,93,hokuto
2025-08-07,808,-1303,6662,102,hokuto
2025-08-07,809,2186,8648,86,hokuto
2025-08-07,810,4604,8301,73,hokuto
2025-08-07,811,-2140,8510,104,hokuto
2025-08-07,812,-3698,7048,138,hokuto
2025-08-07,813,-233,6304,91,hokuto
2025-08-07,814,-3210,7863,127,hokuto
2025-08-07,815,-4117,7487,144,hokuto
2025-08-07,816,3976,8826,74,hokuto
2025-08-07,817,-861,8237,94,hokuto
2025-08-07,818,255,4556,95,hokuto
2025-08-07,819,-1512,7316,113,hokuto
2025-08-07,820,651,6367,90,hokuto
2025-08-07,821,-2698,6717,127,hokuto
2025-08-07,822,3209,10239,80,hokuto
2025-08-07,823,-2280,7844,117,hokuto
2025-08-07,824,697,8658,86,hokuto
2025-08-07,825,-1861,8677,102,hokuto
2025-08-07,826,511,8700,93,hokuto
2025-08-07,827,-175,7903,95,hokuto
2025-08-07,828,2186,5551,82,hokuto
2025-08-07,829,604,8815,93,hokuto
2025-08-07,830,-605,7992,101,hokuto
2025-08-08,800,-861,10129,102,hokuto
2025-08-08,801,1767,9893,91,hokuto
2025-08-08,802,2837,8394,74,hokuto
2025-08-08,803,-3210,8166,110,hokuto
2025-08-08,804,3767,9464,72,hokuto
2025-08-08,805,-24,7133,91,hokuto
2025-08-08,806,-977,9131,95,hokuto
2025-08-08,807,-326,8780,98,hokuto
2025-08-08,808,488,7795,94,hokuto
2025-08-08,809,488,8284,82,hokuto
2025-08-08,810,1906,7500,89,hokuto
2025-08-08,811,2558,9379,82,hokuto
2025-08-08,812,5860,8964,69,hokuto
2025-08-08,813,604,8194,96,hokuto
2025-08-08,814,-4884,8264,150,hokuto
2025-08-08,815,-210,9129,95,hokuto
2025-08-08,816,-931,7866,108,hokuto
2025-08-08,817,-326,8316,93,hokuto
2025-08-08,818,-256,8685,94,hokuto
2025-08-08,819,2697,9509,76,hokuto
2025-08-08,820,639,7579,87,hokuto
2025-08-08,821,-3349,7672,137,hokuto
2025-08-08,822,2558,9185,75,hokuto
2025-08-08,823,-3070,7997,129,hokuto
2025-08-08,824,3279,7402,73,hokuto
2025-08-08,825,-1907,9138,119,hokuto
2025-08-08,826,-2698,8046,120,hokuto
2025-08-08,827,1000,8350,89,hokuto
2025-08-08,828,-3768,7341,147,hokuto
2025-08-08,829,-2373,7414,116,hokuto
2025-08-08,830,5441,9654,74,hokuto
2025-08-09,800,1883,6987,82,hokuto
2025-08-09,801,-1954,5833,114,hokuto
2025-08-09,802,-2605,4082,170,hokuto
2025-08-09,803,2465,9632,78,hokuto
2025-08-09,804,-3070,4298,172,hokuto
2025-08-09,805,-1349,5315,106,hokuto
2025-08-09,806,1930,6438,83,hokuto
2025-08-09,807,418,5956,95,hokuto
2025-08-09,808,-2977,5793,126,hokuto
2025-08-09,809,6046,7242,63,hokuto
2025-08-09,810,-442,3143,105,hokuto
2025-08-09,811,5232,8841,74,hokuto
2025-08-09,812,6883,9051,65,hokuto
2025-08-09,813,395,4421,94,hokuto
2025-08-09,814,1767,9251,80,hokuto
2025-08-09,815,1255,6920,94,hokuto
2025-08-09,816,-838,7866,106,hokuto
2025-08-09,817,6976,7595,64,hokuto
2025-08-09,818,-233,9210,97,hokuto
2025-08-09,819,-3349,6870,135,hokuto
2025-08-09,820,8255,3641,45,hokuto
2025-08-09,821,-2791,8674,114,hokuto
2025-08-09,822,534,6770,88,hokuto
2025-08-09,823,2000,7488,85,hokuto
2025-08-09,824,465,5202,87,hokuto
2025-08-09,825,-1628,6219,111,hokuto
2025-08-09,826,2186,9387,80,hokuto
2025-08-09,827,-198,5390,95,hokuto
2025-08-09,828,6418,8920,69,hokuto
2025-08-09,829,325,7577,95,hokuto
2025-08-09,830,-2094,5584,119,hokuto
2025-08-10,800,-1582,6043,116,hokuto
2025-08-10,801,-977,6163,110,hokuto
2025-08-10,802,-791,3099,124,hokuto
2025-08-10,803,-861,2825,123,hokuto
2025-08-10,804,-652,919,131,hokuto
2025-08-10,805,1186,6537,84,hokuto
2025-08-10,806,-187,2348,117,hokuto
2025-08-10,807,-442,4086,102,hokuto
2025-08-10,808,511,5046,93,hokuto
2025-08-10,809,-256,956,106,hokuto
2025-08-10,810,883,5024,97,hokuto
2025-08-10,811,-535,7248,94,hokuto
2025-08-10,812,-1768,5281,120,hokuto
2025-08-10,813,-582,698,140,hokuto
2025-08-10,814,1302,5614,80,hokuto
2025-08-10,815,-454,3548,96,hokuto
2025-08-10,816,-954,3062,122,hokuto
2025-08-10,817,-954,3268,117,hokuto
2025-08-10,818,1209,6270,86,hokuto
2025-08-10,819,-2652,8331,117,hokuto
2025-08-10,820,-907,1942,121,hokuto
2025-08-10,821,-1349,5673,107,hokuto
2025-08-10,822,-1698,3537,154,hokuto
2025-08-10,823,-884,1985,153,hokuto
2025-08-10,824,-814,1841,132,hokuto
2025-08-10,825,-698,3575,102,hokuto
2025-08-10,826,-163,4607,102,hokuto
2025-08-10,827,-861,2641,132,hokuto
2025-08-10,828,4325,3723,56,hokuto
2025-08-10,829,-94,4878,86,hokuto
2025-08-10,830,-1489,4086,110,hokuto
2025-08-11,800,-1233,8157,106,hokuto
2025-08-11,801,6046,8185,67,hokuto
