date,num,samai,g_num,avg,series
2025-01-01,881,-2609,5724,74,monkey
2025-01-01,882,1450,3165,55,monkey
2025-01-01,883,2975,4126,50,monkey
2025-01-01,884,-761,861,123,monkey
2025-01-01,885,681,2192,100,monkey
2025-01-01,886,-946,650,325,monkey
2025-01-01,887,4650,3637,36,monkey
2025-01-01,888,1725,5157,62,monkey
2025-01-01,889,-967,2241,118,monkey
2025-01-01,890,10500,4065,35,monkey
2025-01-01,891,-1225,3041,74,monkey
2025-01-01,892,-1463,2181,95,monkey
2025-01-01,893,3062,3823,48,monkey
2025-01-01,894,-1550,4128,84,monkey
2025-01-01,895,160,705,141,monkey
2025-01-01,896,7316,2698,36,monkey
2025-01-01,897,-980,4714,87,monkey
2025-01-01,898,3150,4411,60,monkey
2025-01-01,899,4700,4855,51,monkey
2025-01-01,900,-478,712,102,monkey
2025-01-01,901,558,4637,62,monkey
2025-01-01,902,-3526,2923,183,monkey
2025-01-01,903,2737,3641,60,monkey
2025-01-01,904,4350,4447,44,monkey
2025-01-01,905,8645,3800,35,monkey
2025-01-01,906,1658,5085,54,monkey
2025-01-01,907,-1484,3994,83,monkey
2025-01-01,908,-1600,2525,110,monkey
2025-01-01,909,-1225,3868,84,monkey
2025-01-01,910,3208,2985,53,monkey
2025-01-01,911,2162,5658,63,monkey
2025-01-02,881,8104,3016,32,monkey
2025-01-02,882,-1801,2333,106,monkey
2025-01-02,883,-73,4530,66,monkey
2025-01-02,884,-1238,1779,89,monkey
2025-01-02,885,3758,1368,40,monkey
2025-01-02,886,1950,3907,49,monkey
2025-01-02,887,2041,2083,61,monkey
2025-01-02,888,-709,1058,106,monkey
2025-01-02,889,350,3485,58,monkey
2025-01-02,890,-971,3406,83,monkey
2025-01-02,891,-525,3938,77,monkey
2025-01-02,892,900,3323,50,monkey
2025-01-02,893,2666,3241,62,monkey
2025-01-02,894,3141,4591,88,monkey
2025-01-02,895,4237,2950,40,monkey
2025-01-02,896,45,2242,112,monkey
2025-01-02,897,4600,4636,52,monkey
2025-01-02,898,-1300,2612,93,monkey
2025-01-02,899,5025,2715,48,monkey
2025-01-02,900,800,3120,61,monkey
2025-01-02,901,2350,3066,53,monkey
2025-01-02,902,2041,3029,50,monkey
2025-01-02,903,-9,3247,53,monkey
2025-01-02,904,-738,1622,85,monkey
2025-01-02,905,1016,2114,81,monkey
2025-01-02,906,-492,3367,112,monkey
2025-01-02,907,3733,4316,58,monkey
2025-01-02,908,6850,3252,46,monkey
2025-01-02,909,541,3775,67,monkey
2025-01-02,910,5787,3681,44,monkey
2025-01-02,911,-1355,5174,78,monkey
2025-01-03,881,-542,2931,67,monkey
2025-01-03,882,2541,5287,64,monkey
2025-01-03,883,-1771,1410,235,monkey
2025-01-03,884,1112,4209,64,monkey
2025-01-03,885,2850,4032,61,monkey
2025-01-03,886,-405,2728,76,monkey
2025-01-03,887,-782,1003,84,monkey
2025-01-03,888,1883,4878,55,monkey
2025-01-03,889,-4300,4488,118,monkey
2025-01-03,890,-355,4086,60,monkey
2025-01-03,891,-809,1525,95,monkey
2025-01-03,892,-1246,2136,82,monkey
2025-01-03,893,2250,3544,56,monkey
2025-01-03,894,-3834,4291,130,monkey
2025-01-03,895,3575,2154,49,monkey
2025-01-03,896,-451,3608,66,monkey
2025-01-03,897,-4288,4804,123,monkey
2025-01-03,898,-1934,4577,97,monkey
2025-01-03,899,-303,1543,70,monkey
