date,num,samai,g_num,avg,series
2025-08-03,884,-1977,5506,112,monkey
2025-08-03,885,3255,5889,97,monkey
2025-08-03,886,-2326,3258,121,monkey
2025-08-03,887,-233,3857,94,monkey
2025-08-03,888,-768,5195,104,monkey
2025-08-03,889,7348,7463,94,monkey
2025-08-03,890,-3582,4509,173,monkey
2025-08-03,891,-442,2207,92,monkey
2025-08-03,892,-1442,3190,123,monkey
2025-08-03,893,-1303,1197,200,monkey
2025-08-03,894,2837,6451,102,monkey
2025-08-03,895,-780,1400,140,monkey
2025-08-03,896,-873,6888,101,monkey
2025-08-03,897,209,1689,141,monkey
2025-08-03,898,-280,7039,98,monkey
2025-08-03,899,-1396,4926,120,monkey
2025-08-03,900,-1070,2301,192,monkey
2025-08-03,901,-907,7435,126,monkey
2025-08-03,902,4953,7491,103,monkey
2025-08-03,903,-419,6272,94,monkey
2025-08-03,904,-1535,4702,115,monkey
2025-08-03,905,-5442,7088,148,monkey
2025-08-03,906,-1582,4292,134,monkey
2025-08-03,907,-652,4144,134,monkey
2025-08-03,908,-1768,1992,142,monkey
2025-08-03,909,3488,7607,101,monkey
2025-08-03,910,-187,5466,101,monkey
2025-08-03,911,4953,8084,124,monkey
2025-08-04,884,-1721,5651,113,monkey
2025-08-04,885,-826,4234,118,monkey
2025-08-04,886,-117,3642,117,monkey
2025-08-04,887,-280,8650,129,monkey
2025-08-04,888,-1582,1945,177,monkey
2025-08-04,889,5162,7434,98,monkey
2025-08-04,890,-303,2927,133,monkey
2025-08-04,891,1953,6838,101,monkey
2025-08-04,892,-303,2778,96,monkey
2025-08-04,893,-233,2282,85,monkey
2025-08-04,894,-698,2485,124,monkey
2025-08-04,895,81,1901,76,monkey
2025-08-04,896,-1024,2315,122,monkey
2025-08-04,897,-12,829,83,monkey
2025-08-04,898,-1954,1973,219,monkey
2025-08-04,899,-2187,3121,156,monkey
2025-08-04,900,-2559,3144,185,monkey
2025-08-04,901,4046,5819,100,monkey
2025-08-04,902,-1070,2548,116,monkey
2025-08-04,903,2558,5931,101,monkey
2025-08-04,904,-338,786,79,monkey
2025-08-04,905,-733,2123,118,monkey
2025-08-04,906,-2047,3193,110,monkey
2025-08-04,907,93,3697,100,monkey
2025-08-04,908,186,3247,171,monkey
2025-08-04,909,-187,6674,104,monkey
2025-08-04,910,-2047,3222,146,monkey
2025-08-04,911,279,4831,103,monkey
2025-08-06,884,3395,3045,82,monkey
2025-08-06,885,-768,1899,119,monkey
2025-08-06,886,-884,5095,94,monkey
2025-08-06,887,-1140,3395,131,monkey
2025-08-06,888,465,8294,118,monkey
2025-08-06,889,1581,7947,130,monkey
2025-08-06,890,2604,7848,92,monkey
2025-08-06,891,-349,1783,119,monkey
2025-08-06,892,-419,2017,252,monkey
2025-08-06,893,-3349,4139,172,monkey
2025-08-06,894,-1373,1807,120,monkey
2025-08-06,895,-628,2536,127,monkey
2025-08-06,896,2418,8155,113,monkey
2025-08-06,897,3348,6697,91,monkey
2025-08-06,898,-1559,7761,111,monkey
2025-08-06,899,46,3722,109,monkey
2025-08-06,900,4325,7992,119,monkey
2025-08-06,901,-849,6803,124,monkey
2025-08-06,902,-1814,5109,125,monkey
2025-08-06,903,930,7465,98,monkey
2025-08-06,904,-187,4965,113,monkey
2025-08-06,905,674,7747,109,monkey
2025-08-06,906,-4466,6342,129,monkey
2025-08-06,907,-1233,2221,111,monkey
2025-08-06,908,-396,6471,100,monkey
2025-08-06,909,-814,4268,115,monkey
2025-08-06,910,976,4910,96,monkey
2025-08-06,911,-2140,5647,141,monkey
2025-08-07,884,-3210,6386,133,monkey
2025-08-07,885,7162,8731,104,monkey
2025-08-07,886,3720,8422,153,monkey
2025-08-07,887,11720,8791,100,monkey
2025-08-07,888,58,6139,97,monkey
2025-08-07,889,1720,7269,123,monkey
2025-08-07,890,3720,8442,96,monkey
2025-08-07,891,-512,8107,113,monkey
2025-08-07,892,-419,7774,116,monkey
2025-08-07,893,10186,10102,81,monkey
2025-08-07,894,-3280,7634,117,monkey
2025-08-07,895,5581,8570,92,monkey
2025-08-07,896,0,7360,105,monkey
2025-08-07,897,-2326,7766,113,monkey
2025-08-07,898,4813,8350,94,monkey
2025-08-07,899,-1745,7487,134,monkey
2025-08-07,900,4465,8917,110,monkey
2025-08-07,901,3255,8699,85,monkey
2025-08-07,902,-3396,6985,116,monkey
2025-08-07,903,2465,7599,115,monkey
2025-08-07,904,-1954,7499,121,monkey
2025-08-07,905,-4675,7355,134,monkey
2025-08-07,906,10000,9372,105,monkey
2025-08-07,907,-3396,5848,150,monkey
2025-08-07,908,-373,7858,112,monkey
2025-08-07,909,5651,8354,84,monkey
2025-08-07,910,-2187,6474,132,monkey
2025-08-07,911,1255,6908,100,monkey
2025-08-08,884,2162,9629,96,monkey
2025-08-08,885,19069,10092,79,monkey
2025-08-08,886,2418,8679,113,monkey
2025-08-08,887,2325,8857,109,monkey
2025-08-08,888,3581,9980,104,monkey
2025-08-08,889,4465,8532,84,monkey
2025-08-08,890,883,8556,94,monkey
2025-08-08,891,1697,7162,82,monkey
2025-08-08,892,-1442,8536,97,monkey
2025-08-08,893,93,8649,85,monkey
2025-08-08,894,-2745,7668,111,monkey
2025-08-08,895,2186,7730,91,monkey
2025-08-08,896,-94,8463,95,monkey
2025-08-08,897,1744,8850,92,monkey
2025-08-08,898,3767,8864,107,monkey
2025-08-08,899,5441,9888,94,monkey
2025-08-08,900,0,9075,113,monkey
2025-08-08,901,3139,7453,93,monkey
2025-08-08,902,4813,9127,96,monkey
2025-08-08,903,15441,8618,86,monkey
2025-08-08,904,395,8012,97,monkey
2025-08-08,905,6000,8893,102,monkey
2025-08-08,906,8720,10233,85,monkey
2025-08-08,907,1093,9429,102,monkey
2025-08-08,908,-2233,8832,102,monkey
2025-08-08,909,3976,7838,89,monkey
2025-08-08,910,-2419,9210,117,monkey
2025-08-08,911,-675,8568,108,monkey
2025-08-09,884,-1466,7301,135,monkey
2025-08-09,885,-524,7954,96,monkey
2025-08-09,886,-442,3730,113,monkey
2025-08-09,887,-1163,7687,96,monkey
2025-08-09,888,-1838,2873,125,monkey
2025-08-09,889,3976,8948,84,monkey
2025-08-09,890,-3070,4523,146,monkey
2025-08-09,891,-2884,4809,123,monkey
2025-08-09,892,-907,5069,110,monkey
2025-08-09,893,720,5031,90,monkey
2025-08-09,894,6976,9673,81,monkey
2025-08-09,895,-1070,2369,125,monkey
2025-08-09,896,-3070,3913,135,monkey
2025-08-09,897,-2326,6362,122,monkey
2025-08-09,898,2000,5292,129,monkey
2025-08-09,899,558,6829,91,monkey
2025-08-09,900,4604,8381,90,monkey
2025-08-09,901,860,4799,91,monkey
2025-08-09,902,-2000,2556,142,monkey
2025-08-09,903,406,6077,89,monkey
2025-08-09,904,581,4743,132,monkey
2025-08-09,905,627,7894,104,monkey
2025-08-09,906,5790,6463,99,monkey
2025-08-09,907,2558,6995,104,monkey
2025-08-09,908,-1187,6896,125,monkey
2025-08-09,909,-1512,1894,189,monkey
2025-08-09,910,3279,8402,98,monkey
2025-08-09,911,-2187,4373,129,monkey
2025-08-10,884,1348,7066,105,monkey
2025-08-10,885,395,3739,117,monkey
2025-08-10,886,-47,1711,81,monkey
2025-08-10,887,3581,7638,94,monkey
2025-08-10,888,-1047,5123,109,monkey
2025-08-10,889,488,4124,133,monkey
2025-08-10,890,-791,6906,128,monkey
2025-08-10,891,-2838,5953,129,monkey
2025-08-10,892,1651,6861,87,monkey
2025-08-10,893,-873,2686,134,monkey
2025-08-10,894,-198,979,75,monkey
2025-08-10,895,1093,6022,100,monkey
2025-08-10,896,-1070,4613,149,monkey
2025-08-10,897,-1512,1781,178,monkey
2025-08-10,898,-1117,3887,111,monkey
2025-08-10,899,-1373,4417,113,monkey
2025-08-10,900,-966,1847,123,monkey
2025-08-10,901,93,6206,94,monkey
2025-08-10,902,1767,7735,114,monkey
2025-08-10,903,-873,1721,115,monkey
2025-08-10,904,-1117,1643,164,monkey
2025-08-10,905,232,6012,123,monkey
2025-08-10,906,744,3839,116,monkey
2025-08-10,907,1767,6352,115,monkey
2025-08-10,908,-3349,4192,168,monkey
2025-08-10,909,-1419,4132,142,monkey
2025-08-10,910,-3698,5554,159,monkey
2025-08-10,911,593,6100,95,monkey
2025-08-11,884,93,7192,99,monkey
2025-08-11,885,418,8152,94,monkey
2025-08-11,886,4558,8896,87,monkey
2025-08-11,887,162,4491,94,monkey
2025-08-11,888,2000,6107,113,monkey
2025-08-11,889,-1326,4672,120,monkey
2025-08-11,890,-1419,6194,135,monkey
2025-08-11,891,2581,6089,127,monkey
2025-08-11,892,-1117,6516,97,monkey
2025-08-11,893,-2233,4975,134,monkey
2025-08-11,894,-1489,6708,118,monkey
2025-08-11,895,1162,5309,129,monkey
2025-08-11,896,325,8264,116,monkey
2025-08-11,897,-1396,3580,105,monkey
2025-08-11,898,9883,9150,75,monkey
2025-08-11,899,-47,4298,143,monkey
2025-08-11,900,-2187,7114,137,monkey
2025-08-11,901,-94,7331,98,monkey
2025-08-11,902,-1233,6870,116,monkey
2025-08-11,903,1558,8969,115,monkey
2025-08-11,904,-2652,4170,144,monkey
2025-08-11,905,-2559,6189,132,monkey
2025-08-11,906,46,7322,122,monkey
2025-08-11,907,-1233,4893,102,monkey
2025-08-11,908,3023,9573,99,monkey
2025-08-11,909,8372,7921,104,monkey
2025-08-11,910,-1303,5712,146,monkey
2025-08-11,911,-1768,5765,118,monkey
2025-08-12,884,-2931,4878,157,monkey
2025-08-12,885,1813,7925,83,monkey
2025-08-12,886,-2187,2609,137,monkey
2025-08-12,887,-3024,3664,159,monkey
2025-08-12,888,837,6073,98,monkey
2025-08-12,889,3395,6082,107,monkey
2025-08-12,890,1720,6422,117,monkey
2025-08-12,891,-628,3413,95,monkey
2025-08-12,892,720,4766,108,monkey
2025-08-12,893,-3117,3622,181,monkey
2025-08-12,894,15906,9801,73,monkey
2025-08-12,895,-198,4860,97,monkey
2025-08-12,896,-5721,7731,155,monkey
2025-08-12,897,2744,7213,87,monkey
2025-08-12,898,-1326,6737,122,monkey
2025-08-12,899,-24,7240,115,monkey
2025-08-12,900,4325,7793,97,monkey
2025-08-12,901,5651,7838,102,monkey
2025-08-12,902,-512,2669,121,monkey
2025-08-12,903,-1605,2176,181,monkey
2025-08-12,904,4813,7324,77,monkey
2025-08-12,905,-1605,1926,175,monkey
2025-08-12,906,-1349,3813,127,monkey
2025-08-12,907,-1814,4308,144,monkey
2025-08-12,908,-1349,4148,154,monkey
2025-08-12,909,2418,5589,85,monkey
2025-08-12,910,-559,6758,107,monkey
2025-08-12,911,3767,8218,89,monkey
2025-08-13,884,7441,8710,91,monkey
2025-08-13,885,7790,7559,91,monkey
2025-08-13,886,1093,8136,96,monkey
2025-08-13,887,1302,6572,110,monkey
2025-08-13,888,-675,529,265,monkey
2025-08-13,889,58,7191,111,monkey
2025-08-13,890,1953,5654,111,monkey
2025-08-13,891,1534,6166,93,monkey
2025-08-13,892,-907,1623,271,monkey
2025-08-13,893,-2745,3877,144,monkey
2025-08-13,894,-2326,2795,164,monkey
2025-08-13,895,-1512,3584,124,monkey
2025-08-13,896,9302,8739,103,monkey
2025-08-13,897,-2977,3133,209,monkey
2025-08-13,898,-1210,5487,102,monkey
2025-08-13,899,-2559,3855,168,monkey
2025-08-13,900,-1396,4781,171,monkey
2025-08-13,901,-1117,5400,142,monkey
2025-08-13,902,-2326,6050,144,monkey
2025-08-13,903,-1907,3165,186,monkey
2025-08-13,904,-5303,7789,195,monkey
2025-08-13,905,1511,6033,114,monkey
2025-08-13,906,-1605,3052,145,monkey
2025-08-13,907,-140,4718,107,monkey
2025-08-13,908,1488,6834,104,monkey
2025-08-13,909,-117,7101,101,monkey
2025-08-13,910,-814,8684,99,monkey
2025-08-13,911,1162,7097,118,monkey
2025-08-14,884,209,2458,164,monkey
2025-08-14,885,-1931,1418,355,monkey
2025-08-14,886,1674,5624,84,monkey
2025-08-14,887,558,6906,106,monkey
