date,num,samai,g_num,avg,series
2025-01-01,264,3166,8669,113,myjugglerV
2025-01-01,265,3887,8082,112,myjugglerV
2025-01-01,266,1775,7529,130,myjugglerV
2025-01-01,267,2025,8016,123,myjugglerV
2025-01-01,268,-763,6104,174,myjugglerV
2025-01-01,269,-642,6985,170,myjugglerV
2025-01-01,270,2358,7607,133,myjugglerV
2025-01-01,271,5200,8770,95,myjugglerV
2025-01-01,272,789,6175,134,myjugglerV
2025-01-01,273,1616,7255,123,myjugglerV
2025-01-01,274,-642,7322,153,myjugglerV
2025-01-01,275,-421,7606,162,myjugglerV
2025-01-01,276,704,8082,144,myjugglerV
2025-01-01,277,-1284,5440,175,myjugglerV
2025-01-01,278,1525,7592,133,myjugglerV
2025-01-01,279,1791,7563,122,myjugglerV
2025-01-01,280,-867,6700,163,myjugglerV
2025-01-01,281,95,7621,147,myjugglerV
2025-01-01,282,2341,8025,120,myjugglerV
2025-01-01,283,-2417,5966,206,myjugglerV
2025-01-01,284,2266,8021,123,myjugglerV
2025-01-01,285,2033,8124,127,myjugglerV
2025-01-01,286,4487,8273,110,myjugglerV
2025-01-02,264,408,5875,137,myjugglerV
2025-01-02,265,2833,8915,126,myjugglerV
2025-01-02,266,-378,7089,154,myjugglerV
2025-01-02,267,-1238,6606,179,myjugglerV
2025-01-02,268,-109,5256,170,myjugglerV
2025-01-02,269,475,7258,158,myjugglerV
2025-01-02,270,-2075,7588,190,myjugglerV
2025-01-02,271,-942,6638,175,myjugglerV
2025-01-02,272,-1938,6082,203,myjugglerV
2025-01-02,273,-1325,7158,199,myjugglerV
2025-01-02,274,479,8151,143,myjugglerV
2025-01-02,275,-1517,7745,184,myjugglerV
2025-01-02,276,-1417,6760,183,myjugglerV
2025-01-02,277,-1459,6910,197,myjugglerV
2025-01-02,278,2066,8624,127,myjugglerV
2025-01-02,279,-736,7451,162,myjugglerV
2025-01-02,280,-1901,5942,192,myjugglerV
2025-01-02,281,1000,6942,148,myjugglerV
2025-01-02,282,-663,7212,168,myjugglerV
2025-01-02,283,-3276,7373,211,myjugglerV
2025-01-02,284,-1796,6612,207,myjugglerV
2025-01-02,285,-819,7162,179,myjugglerV
2025-01-02,286,-400,6748,144,myjugglerV
2025-01-03,264,554,7548,157,myjugglerV
2025-01-03,265,-642,6427,174,myjugglerV
2025-01-03,266,750,8079,135,myjugglerV
2025-01-03,267,-1001,6252,169,myjugglerV
2025-01-03,268,2541,8655,119,myjugglerV
2025-01-03,269,-1371,7261,169,myjugglerV
2025-01-03,270,-1421,6763,178,myjugglerV
2025-01-03,271,-1284,6565,164,myjugglerV
2025-01-03,272,666,7071,150,myjugglerV
2025-01-03,273,-205,8286,151,myjugglerV
2025-01-03,274,654,7192,141,myjugglerV
2025-01-03,275,-1546,7088,169,myjugglerV
2025-01-03,276,-884,7109,178,myjugglerV
2025-01-03,277,345,8072,139,myjugglerV
2025-01-03,278,4787,8074,101,myjugglerV
2025-01-03,279,293,7510,144,myjugglerV
2025-01-03,280,-2300,6807,189,myjugglerV
2025-01-03,281,4725,8491,116,myjugglerV
2025-01-03,282,925,7031,141,myjugglerV
2025-01-03,283,1208,7351,144,myjugglerV
2025-01-03,284,2350,8543,138,myjugglerV
2025-01-03,285,-380,7535,140,myjugglerV
2025-01-03,286,-36,6083,156,myjugglerV
2025-01-04,264,-3042,7061,214,myjugglerV
