date,num,samai,g_num,avg,series
2025-08-03,264,-512,6057,173,myjugglerV
2025-08-03,265,-1466,6324,192,myjugglerV
2025-08-03,266,-1187,5492,196,myjugglerV
2025-08-03,267,-1605,5392,180,myjugglerV
2025-08-03,268,-628,6330,162,myjugglerV
2025-08-03,269,953,8525,135,myjugglerV
2025-08-03,270,1720,8373,127,myjugglerV
2025-08-03,271,-1349,6585,178,myjugglerV
2025-08-03,272,302,7701,154,myjugglerV
2025-08-03,273,-1373,6679,181,myjugglerV
2025-08-03,274,418,8083,137,myjugglerV
2025-08-03,275,-396,6678,163,myjugglerV
2025-08-03,276,-535,6869,149,myjugglerV
2025-08-03,277,2837,8052,126,myjugglerV
2025-08-03,278,2418,8402,125,myjugglerV
2025-08-03,279,1488,7947,135,myjugglerV
2025-08-03,280,2232,7744,114,myjugglerV
2025-08-03,281,1348,7195,131,myjugglerV
2025-08-03,282,-570,8031,167,myjugglerV
2025-08-03,283,-1280,6806,170,myjugglerV
2025-08-03,284,-1954,6573,193,myjugglerV
2025-08-03,285,-2000,5649,195,myjugglerV
2025-08-03,286,1767,7461,124,myjugglerV
2025-08-04,264,1511,7538,137,myjugglerV
2025-08-04,265,-1070,8100,169,myjugglerV
2025-08-04,266,953,7305,130,myjugglerV
2025-08-04,267,1325,7972,142,myjugglerV
2025-08-04,268,-977,6803,166,myjugglerV
2025-08-04,269,-70,8102,145,myjugglerV
2025-08-04,270,11,7557,148,myjugglerV
2025-08-04,271,244,6855,134,myjugglerV
2025-08-04,272,290,6861,152,myjugglerV
2025-08-04,273,-2559,8989,191,myjugglerV
2025-08-04,274,-652,7643,166,myjugglerV
2025-08-04,275,1744,8930,133,myjugglerV
2025-08-04,276,2558,8148,112,myjugglerV
2025-08-04,277,-1954,5610,193,myjugglerV
2025-08-04,278,2000,7404,135,myjugglerV
2025-08-04,279,-2047,6685,186,myjugglerV
2025-08-04,280,-733,7403,154,myjugglerV
2025-08-04,281,-547,7413,151,myjugglerV
2025-08-04,282,69,7795,142,myjugglerV
2025-08-04,283,-1117,6376,172,myjugglerV
2025-08-04,284,-233,8604,156,myjugglerV
2025-08-04,285,1953,8883,123,myjugglerV
2025-08-04,286,-2466,7516,221,myjugglerV
2025-08-06,264,-745,8372,171,myjugglerV
2025-08-06,265,604,8611,129,myjugglerV
2025-08-06,266,-1187,8376,171,myjugglerV
2025-08-06,267,-931,7477,147,myjugglerV
2025-08-06,268,-303,7729,155,myjugglerV
2025-08-06,269,744,7227,136,myjugglerV
2025-08-06,270,255,8598,156,myjugglerV
2025-08-06,271,-1070,7636,166,myjugglerV
2025-08-06,272,627,8164,146,myjugglerV
2025-08-06,273,1441,7598,131,myjugglerV
2025-08-06,274,-2047,7802,195,myjugglerV
2025-08-06,275,604,5853,146,myjugglerV
2025-08-06,276,-2652,8746,190,myjugglerV
2025-08-06,277,3674,7448,120,myjugglerV
2025-08-06,278,-1768,7254,181,myjugglerV
2025-08-06,279,-1303,7777,165,myjugglerV
2025-08-06,280,930,7996,145,myjugglerV
2025-08-06,281,337,6248,133,myjugglerV
2025-08-06,282,186,7344,144,myjugglerV
2025-08-06,283,697,7474,136,myjugglerV
2025-08-06,284,-559,6518,163,myjugglerV
2025-08-06,285,-1628,7827,170,myjugglerV
2025-08-06,286,1558,8233,133,myjugglerV
2025-08-07,264,779,7253,132,myjugglerV
2025-08-07,265,162,8373,147,myjugglerV
2025-08-07,266,-373,7973,163,myjugglerV
2025-08-07,267,2139,6823,122,myjugglerV
2025-08-07,268,2046,8048,124,myjugglerV
2025-08-07,269,-1442,7487,197,myjugglerV
2025-08-07,270,-1721,7097,197,myjugglerV
2025-08-07,271,-2419,7022,213,myjugglerV
2025-08-07,272,5162,7015,92,myjugglerV
2025-08-07,273,802,6953,145,myjugglerV
2025-08-07,274,2046,7937,137,myjugglerV
2025-08-07,275,-454,7632,150,myjugglerV
2025-08-07,276,7255,8890,86,myjugglerV
2025-08-07,277,162,8102,156,myjugglerV
2025-08-07,278,-210,8006,160,myjugglerV
2025-08-07,279,-814,8525,174,myjugglerV
2025-08-07,280,-652,8119,162,myjugglerV
2025-08-07,281,-2094,8158,209,myjugglerV
2025-08-07,282,1139,8396,135,myjugglerV
2025-08-07,283,-1349,7368,175,myjugglerV
2025-08-07,284,465,6942,151,myjugglerV
2025-08-07,285,-640,8472,151,myjugglerV
2025-08-07,286,476,7982,154,myjugglerV
2025-08-08,264,441,8125,138,myjugglerV
2025-08-08,265,-1024,8100,184,myjugglerV
2025-08-08,266,2976,6779,117,myjugglerV
2025-08-08,267,-954,7577,185,myjugglerV
2025-08-08,268,1302,9087,118,myjugglerV
2025-08-08,269,-768,8279,162,myjugglerV
2025-08-08,270,2418,7356,117,myjugglerV
2025-08-08,271,5023,9642,105,myjugglerV
2025-08-08,272,813,8994,134,myjugglerV
2025-08-08,273,-861,6814,179,myjugglerV
2025-08-08,274,1441,7932,137,myjugglerV
2025-08-08,275,-3210,7893,219,myjugglerV
2025-08-08,276,2697,7239,110,myjugglerV
2025-08-08,277,-2326,7941,199,myjugglerV
2025-08-08,278,-931,6663,175,myjugglerV
2025-08-08,279,2651,9611,110,myjugglerV
2025-08-08,280,-1163,8175,174,myjugglerV
2025-08-08,281,1674,9595,125,myjugglerV
2025-08-08,282,127,8212,149,myjugglerV
2025-08-08,283,1744,9007,129,myjugglerV
2025-08-08,284,-1187,7131,193,myjugglerV
2025-08-08,285,2465,8087,133,myjugglerV
2025-08-08,286,-1535,8209,171,myjugglerV
2025-08-09,264,-1117,6341,192,myjugglerV
2025-08-09,265,720,7218,136,myjugglerV
2025-08-09,266,-954,7027,156,myjugglerV
2025-08-09,267,2790,6216,104,myjugglerV
2025-08-09,268,1209,7831,135,myjugglerV
2025-08-09,269,-303,7746,155,myjugglerV
2025-08-09,270,-698,5353,157,myjugglerV
2025-08-09,271,1581,8917,137,myjugglerV
2025-08-09,272,-2140,7263,214,myjugglerV
2025-08-09,273,-221,7609,144,myjugglerV
2025-08-09,274,-745,8141,173,myjugglerV
2025-08-09,275,-361,8392,158,myjugglerV
2025-08-09,276,1232,6754,138,myjugglerV
2025-08-09,277,-1582,7948,181,myjugglerV
2025-08-09,278,1906,8836,134,myjugglerV
2025-08-09,279,-1489,6282,185,myjugglerV
2025-08-09,280,-535,6784,151,myjugglerV
2025-08-09,281,-861,8067,155,myjugglerV
2025-08-09,282,-2326,6519,217,myjugglerV
2025-08-09,283,-1326,6129,180,myjugglerV
2025-08-09,284,-163,6920,169,myjugglerV
2025-08-09,285,69,7183,147,myjugglerV
2025-08-09,286,2139,5317,127,myjugglerV
2025-08-10,264,-884,7215,180,myjugglerV
2025-08-10,265,-1559,6453,196,myjugglerV
2025-08-10,266,2883,8173,114,myjugglerV
2025-08-10,267,-2791,6306,234,myjugglerV
2025-08-10,268,-2466,5991,214,myjugglerV
2025-08-10,269,-1512,5460,202,myjugglerV
2025-08-10,270,1604,6477,130,myjugglerV
2025-08-10,271,2558,5889,115,myjugglerV
2025-08-10,272,-1628,4515,196,myjugglerV
2025-08-10,273,3720,8127,110,myjugglerV
2025-08-10,274,418,7608,141,myjugglerV
2025-08-10,275,1465,8862,132,myjugglerV
2025-08-10,276,-942,6899,150,myjugglerV
2025-08-10,277,-1675,7037,172,myjugglerV
2025-08-10,278,2837,8482,118,myjugglerV
2025-08-10,279,-2233,6827,180,myjugglerV
2025-08-10,280,-1140,7752,158,myjugglerV
2025-08-10,281,1441,7186,118,myjugglerV
2025-08-10,282,2232,7799,130,myjugglerV
